Date,close,signal,actual,market_return,strategy_return,market_value,strategy_value
2024-02-20,179.92259216308594,1,1,-0.004113727283369117,-0.004113727283369117,9795.340848401254,10004.385609281457
2024-02-21,180.67568969726562,1,1,0.004185675212466267,0.004185675212466267,9836.340963788067,10046.260718142179
2024-02-22,182.70721435546875,1,0,0.011244039868380185,0.011244039868380185,9946.94117374388,10159.22127418511
2024-02-23,180.87391662597656,1,0,-0.010034074111191837,-0.010034074111191837,9847.132828826869,10057.28289500794
2024-02-26,179.52615356445312,0,1,-0.007451395351328771,-0.007451395351328771,9773.75794904223,9982.34210399708
2024-02-27,180.98292541503906,1,0,0.00811453830911013,0.0,9853.067482343704,9982.34210399708
2024-02-28,179.7838134765625,1,0,-0.0066255528565841715,-0.0066255528565841715,9787.785462939944,9916.203568754541
2024-02-29,179.11985778808594,1,0,-0.003693078234560443,-0.003693078234560443,9751.638405482216,9879.582253185303
2024-03-01,178.0396728515625,1,0,-0.006030514705976264,-0.006030514705976264,9692.83100667059,9820.003287118567
2024-03-04,173.5208282470703,1,0,-0.025381110468899237,-0.025381110468899237,9446.816192133914,9570.760698883258
2024-03-05,168.5857391357422,1,0,-0.028440903384239435,-0.028440903384239435,9178.140205524764,9298.559618532643
2024-03-06,167.59474182128906,1,0,-0.00587829860066158,-0.00587829860066158,9124.188356797951,9243.899908538853
2024-03-07,167.47584533691406,1,1,-0.0007094284885249547,-0.0007094284885249547,9117.71539764297,9237.342022598663
2024-03-08,169.1902313232422,1,1,0.010236616408051402,0.010236616408051402,9211.049952686426,9331.90114951398
2024-03-11,171.19200134277344,1,1,0.011831475161865779,0.011831475161865779,9320.030261416341,9442.311306177442
2024-03-12,171.6676788330078,1,0,0.002778619833305962,0.002778619833305962,9345.927082347725,9468.547899645037
2024-03-13,169.5866241455078,0,1,-0.01212257718894405,-0.01212257718894405,9232.630359889721,9353.764696864375
2024-03-14,171.43975830078125,1,0,0.010927360365894367,0.0,9333.518638957334,9353.764696864375
2024-03-15,171.06317138671875,1,1,-0.0021966136548198234,-0.0021966136548198234,9313.016504467485,9333.218089607271
2024-03-18,172.15325927734375,1,1,0.0063724288623217,0.0063724288623217,9372.363039635831,9392.693357939828
2024-03-19,174.49197387695312,1,1,0.013585073029849681,0.013585073029849681,9499.687275991548,9520.293783154424
2024-03-20,177.05859375,0,0,0.014709099885916732,0.014709099885916732,9639.419125019082,9660.328735354115
2024-03-21,169.82444763183594,1,1,-0.04085735668034507,-0.0,9245.577939636836,9660.328735354115
